WayPoint98WayPoint99,3
WayPoint99WayPoint98,3
WayPoint97WayPoint99,6
WayPoint99WayPoint97,6
WayPoint96WayPoint99,9
WayPoint94WayPoint99,15
WayPoint99WayPoint90,27
WayPoint9WayPoint99,69
WayPoint89WayPoint99,24
WayPoint87WayPoint99,18
WayPoint99WayPoint87,18
WayPoint99WayPoint86,15
WayPoint85WayPoint99,12
WayPoint84WayPoint99,9
WayPoint83WayPoint99,12
WayPoint99WayPoint83,12
WayPoint99WayPoint82,15
WayPoint81WayPoint99,18
WayPoint99WayPoint80,36
WayPoint8WayPoint99,63
WayPoint79WayPoint99,27
WayPoint99WayPoint79,27
WayPoint78WayPoint99,24
WayPoint77WayPoint99,21
WayPoint99WayPoint77,21
WayPoint74WayPoint99,27
WayPoint72WayPoint99,36
WayPoint99WayPoint72,36
WayPoint99WayPoint71,36
WayPoint99WayPoint70,36
WayPoint69WayPoint99,33
WayPoint99WayPoint68,30
WayPoint99WayPoint67,27
WayPoint64WayPoint99,1000
WayPoint99WayPoint64,1000
WayPoint60WayPoint99,36
WayPoint99WayPoint60,36
WayPoint59WayPoint99,36
WayPoint99WayPoint57,33
WayPoint56WayPoint99,33
WayPoint99WayPoint56,33
WayPoint54WayPoint99,36
WayPoint99WayPoint54,36
WayPoint99WayPoint53,39
WayPoint99WayPoint52,42
WayPoint50WayPoint99,48
WayPoint99WayPoint50,48
WayPoint99WayPoint5,51
WayPoint99WayPoint48,54
WayPoint47WayPoint99,57
WayPoint99WayPoint47,57
WayPoint46WayPoint99,60
WayPoint99WayPoint46,60
WayPoint99WayPoint45,60
WayPoint44WayPoint99,57
WayPoint99WayPoint44,57
WayPoint99WayPoint43,54
WayPoint42WayPoint99,51
WayPoint99WayPoint42,51
WayPoint40WayPoint99,45
WayPoint99WayPoint40,45
WayPoint4WayPoint99,54
WayPoint99WayPoint39,42
WayPoint38WayPoint99,39
WayPoint99WayPoint38,39
WayPoint37WayPoint99,36
WayPoint99WayPoint36,63
WayPoint35WayPoint99,60
WayPoint99WayPoint35,60
WayPoint34WayPoint99,57
WayPoint33WayPoint99,54
WayPoint99WayPoint33,54
WayPoint99WayPoint3,57
WayPoint27WayPoint99,63
WayPoint99WayPoint27,63
WayPoint26WayPoint99,60
WayPoint99WayPoint26,60
WayPoint25WayPoint99,57
WayPoint23WayPoint99,51
WayPoint99WayPoint2,45
WayPoint19WayPoint99,39
WayPoint99WayPoint19,39
WayPoint99WayPoint18,90
WayPoint16WayPoint99,84
WayPoint15WayPoint99,81
WayPoint99WayPoint15,81
WayPoint142WayPoint99,33
WayPoint141WayPoint99,27
